design_id,region,gap_band,cost,f_min,boundary_gap,initial_paired_trials,heldout_paired_trials,cumulative_paired_trials,initial_safety_violations,heldout_safety_violations,cumulative_safety_violations,safety_classification,safety_family_size_denominator,safe_max_cumulative_violations,incumbent_design_id,candidate_heldout_metric_mean,incumbent_heldout_metric_mean,heldout_paired_mean,paired_bootstrap_lower_98_75,performance_alpha_per_design,adjusted_performance_passes,measured_nondominated,final_frontier_claim_passes
11972,cost_121_124,wide,121.0,0.6428571428571429,0.3095238095238094,60,44,104,3,1,4,not_verified_safe,32,3,7388,1.3548448513379445,1.1304965201516886,0.22434833118625583,,0.0125,False,False,False
7310,cost_140_145,near,144.0,0.9420787193495354,0.010302233031416974,60,240,300,1,1,2,verified_safe,32,3,7358,1.4437401840956103,1.3284484566332107,0.11529172746239974,0.1050278157080211,0.0125,True,True,True
6499,cost_125_139,middle,135.0,0.7631578947368421,0.18922305764411018,60,240,300,0,0,0,verified_safe,32,3,7364,1.4241572456992908,1.29499580689919,0.12916143880010086,0.09607610983591387,0.0125,True,True,True
11264,cost_121_124,wide,124.0,0.6428571428571429,0.3095238095238094,60,44,104,3,1,4,not_verified_safe,32,3,7256,1.3582221713561,1.1993853426481862,0.1588368287079138,,0.0125,False,False,False
