design_id,cost,metric,source,verified_safe,mean_min_d
7388,121.0,1.1500815733314018,current_frontier,True,2.7587628755877955
7376,123.0,1.1742568581350004,current_frontier,True,2.872240303822744
7256,124.0,1.1879096971664242,current_frontier,True,2.5557834066426497
7364,125.0,1.29499580689919,current_frontier,True,3.084937299428033
6499,135.0,1.4241572456992908,performance_challenger,True,3.177380766399718
7310,144.0,1.4437401840956103,performance_challenger,True,3.5606573281379683
20636,146.0,1.4621997616128646,current_frontier,True,3.1913694855304455
6242,160.0,1.467740093624434,current_frontier,True,3.6881646106158574
2677,161.0,1.4988903129297242,current_frontier,True,3.6921530086637118
5317,190.0,1.51026962268003,current_frontier,True,3.7888178983341323
1624,191.0,1.5252279490948186,current_frontier,True,3.8129313074523976
832,208.0,1.5556024081913595,current_frontier,True,3.8874592700105266
