design_id,cost,heldout_r240_metric_mean
7388,121.0,1.1500815733314018
7376,123.0,1.1742568581350004
7256,124.0,1.1879096971664242
7364,125.0,1.29499580689919
7358,140.0,1.3284484566332107
20636,146.0,1.4621997616128646
6242,160.0,1.467740093624434
2677,161.0,1.4988903129297242
5317,190.0,1.51026962268003
1624,191.0,1.5252279490948186
832,208.0,1.5556024081913595
